sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;fabrica_de_;prado;3;10.0;2018-07-13;5000000.0;microempresarial
femenino;servicio;recreativo_educativo;barrio_caicedo;1;9.0;2017-10-30;6000000.0;microempresarial
femenino;comercio;tienda;aranjuez;2;4.0;2017-08-03;7300000.0;microempresarial
masculino;comercio;variedades;cabecera_san_cristobal;3;60.0;2017-11-20;7000000.0;microempresarial
femenino;comercio;fabrica_de_;robledo;2;7.0;2017-02-23;5000000.0;microempresarial
femenino;comercio;variedades;picachito;1;6.0;2017-05-31;7000000.0;microempresarial
femenino;industria;fabrica_de_;guayabal;3;15.0;2016-02-20;2000000.0;microempresarial
femenino;comercio;tienda;carpinelo;1;1.0;2017-02-14;3300000.0;microempresarial
masculino;comercio;variedades;belalcazar;2;5.0;2018-05-07;7800000.0;microempresarial
femenino;comercio;variedades;manrique_central_no__1;1;4.0;2018-05-03;7800000.0;microempresarial
femenino;industria;fabrica_de_;manrique_central_no__2;2;3.0;2017-02-28;4500000.0;microempresarial
masculino;agropecuaria;sembrados;santa_elena_central;2;90.0;2016-12-23;13000000.0;agropecuaria
femenino;comercio;comidas_rapidas;andalucia;2;2.0;2018-04-12;7800000.0;microempresarial
masculino;industria;fabrica_de_;san_javier_no_1;1;13.0;2018-08-23;4000000.0;microempresarial
masculino;servicio;variedades;belencito;2;13.0;2018-07-30;7800000.0;microempresarial
masculino;comercio;miscelanea;centro_admtivo;3;10.0;2018-02-14;1000000.0;microempresarial
femenino;comercio;variedades;cabecera_san_antonio_;2;80.0;2017-11-16;7000000.0;microempresarial
femenino;servicio;cafe_e_internet;manrique_central_no__1;3;4.0;2019-04-29;8000000.0;microempresarial
masculino;comercio;tienda;villa_hermosa;3;8.0;2018-06-27;5000000.0;microempresarial
femenino;comercio;venta_de_calzado;playon_de_los_;2;2.0;2017-02-27;7000000.0;microempresarial
femenino;comercio;productos_de_belleza;buenos_aires;3;9.0;2017-07-24;7300000.0;microempresarial
masculino;comercio;tienda;manrique_central_no__1;2;4.0;2018-09-14;6000000.0;microempresarial
femenino;comercio;tienda;popular;2;1.0;2018-10-11;6000000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;robledo;2;7.0;2018-02-15;6000000.0;microempresarial
femenino;comercio;variedades;tricentenario;3;5.0;2017-11-20;4000000.0;microempresarial
masculino;servicio;barberia;calasanz;2;12.0;2017-09-26;7377000.0;microempresarial
masculino;industria;fabrica_de_;aranjuez;3;4.0;2016-10-24;6500000.0;microempresarial
femenino;comercio;comidas_rapidas;buenos_aires;2;9.0;2019-06-28;1500000.0;microempresarial
masculino;comercio;variedades;andalucia;2;2.0;2018-08-17;7800000.0;microempresarial
femenino;servicio;peluqueria;pedregal;3;6.0;2017-10-27;7300000.0;microempresarial
femenino;servicio;jardineria;la_francia;2;2.0;2017-06-12;7377000.0;microempresarial
femenino;comercio;variedades;santa_cruz;2;2.0;2017-06-14;4000000.0;microempresarial
femenino;comercio;tienda;san_javier_no_1;2;13.0;2018-02-06;7800000.0;microempresarial
femenino;comercio;variedades;la_floresta;3;12.0;2017-09-05;7300000.0;microempresarial
femenino;comercio;variedades;belen;3;16.0;2016-09-16;6890000.0;microempresarial
masculino;comercio;tienda;las_brisas;3;5.0;2018-01-15;6000000.0;microempresarial
femenino;comercio;peluqueria;castilla;3;5.0;2017-08-11;2500000.0;microempresarial
masculino;industria;fabrica_de_alimentos;san_javier_no_1;2;13.0;2016-10-27;6800000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;cabecera_san_antonio_;2;80.0;2016-09-22;4000000.0;microempresarial
masculino;industria;variedades;cabecera_san_antonio_;2;80.0;2017-07-24;5000000.0;credioportuno
masculino;industria;fabrica_de_;guayabal;2;15.0;2016-03-02;4000000.0;microempresarial
masculino;industria;fabrica_de_;belen;2;16.0;2016-05-24;6500000.0;microempresarial
femenino;comercio;comidas_rapidas;santander;2;6.0;2018-07-27;1200000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;prado;3;10.0;2017-11-20;7000000.0;microempresarial
femenino;comercio;comidas_rapidas;santa_cruz;2;2.0;2018-03-22;1500000.0;microempresarial
masculino;industria;fabrica_de_traperos;aranjuez;3;4.0;2016-02-24;2000000.0;microempresarial
femenino;comercio;variedades;castilla;3;5.0;2017-02-15;4000000.0;microempresarial
masculino;industria;fabrica_de_alimentos;san_javier_no_2;3;13.0;2016-02-29;6890000.0;microempresarial
masculino;industria;fabrica_de_;san_javier_no_1;1;13.0;2017-08-15;6000000.0;microempresarial
masculino;servicio;variedades;pedregal;3;6.0;2017-04-24;7000000.0;microempresarial
masculino;comercio;panaderia;cabecera_san_antonio_;2;80.0;2017-04-27;3000000.0;microempresarial
masculino;servicio;mantenimiento_en_;la_milagrosa;2;9.0;2018-05-16;7000000.0;microempresarial
masculino;comercio;variedades;la_floresta;3;12.0;2016-08-16;6000000.0;microempresarial
femenino;comercio;fabrica_de_;san_javier_no_1;1;13.0;2017-10-05;7300000.0;microempresarial
masculino;comercio;tienda;cabecera_san_antonio_;3;80.0;2018-05-21;5500000.0;microempresarial
femenino;comercio;tienda_de_helados;robledo;3;7.0;2018-05-23;7800000.0;microempresarial
femenino;comercio;variedades;tricentenario;3;5.0;2017-04-27;7000000.0;microempresarial
femenino;comercio;miscelanea;villa_hermosa;3;8.0;2016-12-19;6890000.0;microempresarial
masculino;servicio;mantenimiento_en_;andalucia;1;2.0;2016-01-22;6890000.0;microempresarial
femenino;comercio;tienda;bombona_no__1;3;10.0;2016-10-05;4000000.0;microempresarial
masculino;industria;fabrica_de_;santa_cruz;2;2.0;2016-09-30;6890000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;manrique_oriental;2;3.0;2017-02-08;1200000.0;microempresarial
femenino;comercio;fabrica_de_;villa_liliam;1;13.0;2019-02-06;7800000.0;microempresarial
masculino;comercio;tienda;kennedy;2;6.0;2018-09-27;5000000.0;microempresarial
femenino;comercio;variedades;robledo;2;7.0;2016-10-28;6000000.0;microempresarial
femenino;comercio;tienda;santa_cruz;2;2.0;2016-04-04;4000000.0;microempresarial
femenino;comercio;variedades;popular;2;1.0;2016-02-29;6500000.0;microempresarial
masculino;comercio;comidas_rapidas;doce_de_octubre_no_1;2;6.0;2018-05-21;5000000.0;microempresarial
masculino;servicio;bares;san_javier_no_1;2;13.0;2018-07-16;5000000.0;microempresarial
masculino;industria;fabrica_de_;buenos_aires;3;9.0;2018-03-06;7800000.0;microempresarial
femenino;comercio;peluqueria;pedregal;3;6.0;2017-04-18;7000000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;robledo;2;7.0;2018-07-03;4000000.0;microempresarial
femenino;comercio;tienda;robledo;2;7.0;2018-09-05;5000000.0;microempresarial
femenino;comercio;peluqueria;robledo;2;7.0;2018-05-03;6000000.0;microempresarial
femenino;agropecuaria;criadero_de_animales_;la_floresta;2;12.0;2016-06-14;6890000.0;microempresarial
masculino;comercio;almacen_de_ropa_en_;popular;1;1.0;2018-10-18;7800000.0;microempresarial
masculino;comercio;tienda;la_milagrosa;3;9.0;2018-02-20;5000000.0;microempresarial
femenino;comercio;restaurante;enciso;3;8.0;2017-03-09;7000000.0;microempresarial
femenino;servicio;organización_y_;pedregal;3;6.0;2017-10-12;7377000.0;microempresarial
femenino;industria;fabrica_de_;el_salvador;2;9.0;2017-06-06;7377000.0;microempresarial
femenino;industria;fabrica_de_;manrique_central_no__1;2;4.0;2018-04-27;3000000.0;microempresarial
masculino;servicio;restaurante;belen;3;16.0;2017-04-03;7350000.0;microempresarial
femenino;comercio;variedades;buenos_aires;3;9.0;2017-06-20;1000000.0;microempresarial
masculino;comercio;tienda;aranjuez;1;4.0;2017-09-04;3000000.0;microempresarial
femenino;servicio;peluqueria;el_salvador;2;60.0;2017-09-19;3000000.0;microempresarial
femenino;industria;fabrica_de_;la_esperanza;1;6.0;2018-04-12;3000000.0;microempresarial
femenino;comercio;panaderia;playon_de_los_;2;2.0;2016-11-22;6000000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;santa_cruz;2;2.0;2017-02-21;6000000.0;microempresarial
masculino;comercio;tienda;robledo;1;7.0;2017-12-18;5000000.0;microempresarial
femenino;comercio;comidas_rapidas;robledo;3;7.0;2018-01-29;7800000.0;microempresarial
femenino;industria;fabrica_de_;barrio_caicedo;2;9.0;2017-03-16;5000000.0;microempresarial
masculino;servicio;variedades;santo_domingo_savio_;1;1.0;2018-02-28;7000000.0;microempresarial
femenino;comercio;variedades;aranjuez;2;4.0;2016-08-25;3000000.0;microempresarial
masculino;servicio;comidas_rapidas;robledo;2;7.0;2017-03-29;7377000.0;microempresarial
femenino;comercio;tienda;popular;2;1.0;2017-06-29;7300000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;robledo;2;7.0;2017-03-09;6000000.0;microempresarial
masculino;comercio;tienda;el_salvador;3;9.0;2016-04-12;1000000.0;microempresarial
femenino;comercio;miscelanea;centro_admtivo;1;10.0;2018-02-15;5000000.0;microempresarial
femenino;comercio;variedades;doce_de_octubre_no_1;2;6.0;2017-03-02;3000000.0;microempresarial
masculino;comercio;fabrica_de_;centro_admtivo;2;10.0;2018-01-24;4500000.0;microempresarial
femenino;comercio;fabrica_de_alimentos;campo_valdes_no__2;1;3.0;2017-11-24;3000000.0;microempresarial
masculino;comercio;variedades;campo_valdes_no__1;3;4.0;2018-06-06;4000000.0;microempresarial
femenino;servicio;fabrica_de_arepas;villa_hermosa;3;8.0;2016-08-24;1050000.0;microempresarial
femenino;industria;carpinteria;belen;3;16.0;2018-01-30;7800000.0;microempresarial
femenino;comercio;variedades;calasanz;3;12.0;2018-05-16;3000000.0;microempresarial
femenino;servicio;variedades;las_palmas;2;10.0;2017-12-22;4400000.0;microempresarial
masculino;comercio;tienda;girardot;3;5.0;2019-05-16;8200000.0;microempresarial
masculino;servicio;drogueria;cabecera_san_cristobal;2;60.0;2018-07-12;7800000.0;microempresarial
femenino;industria;fabrica_de_;moravia;2;4.0;2018-06-01;7800000.0;microempresarial
femenino;comercio;tienda;enciso;2;8.0;2017-04-18;7000000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;cabecera_san_antonio_;2;80.0;2017-02-09;7377000.0;microempresarial
femenino;comercio;tienda_de_helados;san_javier_no_1;2;13.0;2017-09-27;30000000.0;empresarial_ed__
femenino;comercio;almacen_de_ropa_en_;antonio_nariño;2;13.0;2016-08-16;6890000.0;microempresarial
masculino;comercio;productos_de_mar;santa_cruz;2;2.0;2018-06-07;2500000.0;microempresarial
femenino;agropecuaria;criadero_de_animales_;cabecera_san_antonio_;2;80.0;2017-12-05;7300000.0;microempresarial
masculino;servicio;cafe_e_internet;moravia;3;4.0;2018-02-13;3000000.0;microempresarial
femenino;industria;fabrica_de_;popular;2;1.0;2018-08-24;7800000.0;microempresarial
